Kosraean (language);300388638
balneum;300120377
mixing troughs;300023066
Late Jōmon;300018527
dukes;300132247
rushes (plant);300400819
pietra di Prun;300379838
cap strip seams;300078348
microfilming;300252875
Cicer arietinum (species);300375533
sculptographs;300389669
plaster;300014922
spruce pine (wood, general);300343736
editing;300054700
mass color;300065465
slipways;300006433
ensembles (musical groups);300205024
brown colors;300311123
rocky deserts;300387014
pipe fitters;300025026
Triestan;300386552
crusted (pottery style);300107088
Phacochoerus (genus);300310428
nannies;300380151
zeze;300042204
drays;300219578
albas;300210415
universities (institutions);300312240
platter tilters;300209575
war horses;300266005
shamisen;300212678
extension flush bolts;300033342
adeudeus;300042058
Homaridae (family);300249724
runs (winter sports structures);300251886
frog-mouthed helms;300036824
hydraulic motors;300024610
santons;300262957
sheaf-back chairs;300038108
Bassari (Tenda);300262574
Poligen (TM);300386804
ashik güls;300311332
bunkers;300006940
tieback curtains;300204069
underbodices;300210570
minutes (units for duration);300379240
Asterales (order);300375558
irregular satellites;300386955
hand-painted;300248263
couching (papermaking);300054061
Tamil (language);300389365
clothes closets;300004472
ukuleles;300201283
seasonal dwellings;300005527
basilican plan;300263215
Yeye;300263672
Axminster carpets;300187132
fleur-de-lis (motif);300009966
Hidatsa (culture or style);300017658
Louis XV;300021085
Tsouic (language);300389453
thermal bridges;300121812
bed keys;300161767
Red Polished (Cypriote pottery style);300107618
organizational functions;300137481
Chewong (language);300388099
shells (drum components);300041856
Timurid painting styles;300107415
thermal properties;300056225
panel clamps;300161903
Chambri;300021912
jardinières (containers);300200350
double fire screens (furniture);300167588
Post-Angkorean;300019148
xylene;300015249
grayish purplish blue;300130238
gold blocking;300257623
main weft;300227852
Brocade Style;300019730
reposes;300190116
Anobiidae (family);300250849
leading (spacing);300200430
gagaku;300264379
drums (membranophones);300041729
bread pans;300196376
Timbira;300018014
collars (horse collars);300255580
Tokelauan (language);300389426
kymographs;300022422
zoning maps;300028242
floras (documents);300266776
dedication copies;300265562
Elaphurus (genus);300343698
horizontal masks;300262852
blanketing;300227777
bone china (visual works);300387252
Tai (language);300389348
Early Gerzean;300020262
novitiates (dwellings);300263276
fetters (shackles);300247521
calf (leather);300227525
cloth beams;300312169
centre of projection;300067695
polychromy;300247962
volupers;300221387
bishop's rings;300266066
hard solder;300161511
Chamaecyparis obtusa (species);300389670
reaping-hooks (sickles);300264860
slipware;300264955
flow-line maps;300028370
ninjas;300391090
ferruginous limestone;300011353
tenon-saws;300023994
vector graphics;300215281
polychrome;300252261
mantling;300266216
serigraph cels;300263515
pianola roll cabinets;300164579
barb bolts;300391178
cabinet knobs;300033544
Xiphias (genus);300310598
prestige;300343604
stuffed toys;300211252
Sighu (language);300389273
joint stools;300038489
champagne flutes;300393175
hulks (utility and service vessels);300233414
Classic (Mesoamerican  culture or period);300016983
Nungali (language);300389000
Batu (language);300387958
necked bolts;300033355
businessmen;300025210
moors (landforms);300386886
ribbon development;300162479
cast-in-place concrete;300240021
greaves;300036788
weather and related phenomena;300162300
barges (ships' boats);300232890
segmental pediments;300065040
crazing;300054126
retting;300265605
traveling exhibitions;300054773
